sample,adc,filtered,lead_off
600,5934,452.587,0
601,5989,438.757,0
602,6037,423.844,0
603,6082,415.572,0
604,6118,419.676,0
605,6144,438.615,0
606,6165,471.265,0
607,6178,513.542,0
608,6187,559.675,0
609,6193,603.706,0
610,6208,640.827,0
611,6272,668.396,0
612,6352,686.667,0
613,6429,698.965,0
614,6471,710.733,0
615,6489,727.436,0
616,6496,752.308,0
617,6499,785.172,0
618,6497,822.812,0
619,6506,860.388,0
620,6525,893.151,0
621,6567,917.871,0
622,6595,933.669,0
623,6620,941.955,0
624,6636,945.566,0
625,6638,947.576,0
626,6631,950.296,0
627,6628,954.700,0
628,6638,960.424,0
629,6651,966.289,0
630,6679,971.045,0
631,6717,974.012,0
632,6741,975.448,0
633,6741,976.432,0
634,6713,978.159,0
635,6670,980.939,0
636,6640,983.575,0
637,6623,983.597,0
638,6607,978.259,0
639,6574,965.573,0
640,6510,944.661,0
641,6408,915.296,0
642,6292,877.077,0
643,6202,828.978,0
644,6135,769.832,0
645,6058,699.441,0
646,6010,619.286,0
647,5971,532.415,0
648,5897,442.810,0
649,5789,354.337,0
650,5680,269.437,0
651,5570,188.353,0
652,5510,109.535,0
653,5455,31.028,0
654,5402,-48.150,0
655,5367,-127.503,0
656,5336,-205.413,0
657,5284,-279.740,0
658,5218,-348.488,0
659,5163,-410.459,0
660,5137,-465.489,0
661,5126,-514.006,0
662,5111,-556.369,0
663,5114,-592.640,0
664,5121,-622.775,0
665,5128,-646.770,0
666,5116,-664.665,0
667,5090,-676.627,0
668,5055,-683.247,0
669,5046,-685.780,0
670,5067,-685.936,0
671,5087,-685.197,0
672,5088,-684.253,0
673,5077,-683.145,0
674,5053,-681.870,0
675,5023,-680.816,0
676,5012,-680.705,0
677,5025,-682.094,0
678,5057,-684.745,0
679,5093,-687.303,0
680,5139,-687.579,0
681,5168,-683.265,0
682,5185,-672.665,0
683,5197,-655.206,0
684,5175,-631.572,0
685,5157,-603.635,0
686,5134,-574.277,0
687,5125,-547.001,0
688,5133,-525.222,0
689,5125,-511.429,0
690,5123,-506.583,0
691,5138,-509.932,0
692,5161,-519.049,0
693,5195,-530.017,0
694,5245,-538.031,0
695,5330,-538.308,0
696,5394,-526.953,0
697,5410,-501.780,0
698,5324,-463.433,0
699,5223,-416.585,0
700,5149,-369.934,0
701,5100,-333.951,0
702,5093,-317.188,0
703,5139,-323.172,0
704,5195,-349.178,0
705,5263,-387.128,0
706,5297,-426.137,0
707,5311,-455.741,0
708,5322,-468.661,0
709,5283,-462.247,0
710,5227,-438.669,0
711,5212,-404.206,0
712,5228,-367.441,0
713,5278,-336.468,0
714,5340,-316.202,0
715,5361,-307.048,0
716,5357,-305.528,0
717,5320,-306.467,0
718,5289,-305.477,0
719,5291,-300.488,0
720,5311,-291.785,0
721,5317,-281.041,0
722,5333,-270.321,0
723,5346,-261.455,0
724,5365,-255.483,0
725,5374,-252.151,0
726,5361,-249.866,0
727,5340,-246.449,0
728,5315,-240.421,0
729,5325,-231.960,0
730,5349,-222.815,0
731,5379,-215.182,0
732,5387,-210.404,0
733,5392,-208.342,0
734,5380,-207.584,0
735,5349,-206.239,0
736,5332,-202.962,0
737,5341,-197.692,0
738,5367,-191.552,0
739,5399,-186.003,0
740,5440,-181.868,0
741,5474,-178.686,0
742,5484,-174.644,0
743,5481,-167.245,0
744,5464,-154.524,0
745,5442,-136.226,0
746,5406,-114.406,0
747,5366,-93.241,0
748,5335,-78.049,0
749,5326,-73.660,0
750,5325,-82.575,0
751,5329,-103.754,0
752,5354,-132.714,0
753,5397,-162.812,0
754,5445,-187.033,0
755,5477,-199.722,0
756,5491,-197.938,0
757,5493,-182.096,0
758,5491,-155.593,0
759,5478,-123.545,0
760,5445,-91.289,0
761,5429,-63.385,0
762,5447,-43.101,0
763,5486,-31.957,0
764,5542,-29.256,0
765,5562,-32.098,0
766,5552,-36.295,0
767,5507,-38.028,0
768,5471,-35.417,0
769,5447,-29.092,0
770,5437,-21.547,0
771,5433,-15.889,0
772,5461,-14.671,0
773,5465,-19.075,0
774,5460,-28.600,0
775,5477,-41.349,0
776,5487,-54.525,0
777,5506,-64.896,0
778,5519,-69.446,0
779,5519,-66.288,0
780,5515,-55.499,0
